description,monthly_installment,list_price,model,milleage,gear_type,location
"2013 BMW 520i 2.0 Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 64,306
2015 Honda HR-V 1.8 i-VTEC V SUV - (A) 1 YEAR WARRANTY,RM 707 / month,"RM 54,500",Honda HR-V,105 - 110K KM,Automatic,"Penang, Greenlane"
2017/2020 Toyota Vellfire 2.5 Z MPV - (A) 2 POWER DOOR 7 SEATER 1 YEAR WARRANTY,"RM 2,020 / month","RM 155,800",Toyota Vellfire,45 - 50K KM,Automatic,"Selangor, Klang"
2016/2021 Toyota Alphard 2.5 G S MPV - AGH30 POWER DOOR POWER BOOT 1 YEAR WARRANTY,"RM 2,020 / month","RM 155,800",Toyota Alphard,45 - 50K KM,Automatic,"Selangor, Klang"
2016 Perodua Myvi 1.3 X Hatchback - (A) 1 YEAR WARRANTY,RM 363 / month,"RM 28,000",Perodua Myvi,100 - 105K KM,Automatic,"Penang, Ayer Itam"
2015 Honda CR-V 2.4 i-VTEC SUV - FREE WARRANTY,RM 778 / month,"RM 59,999",Honda CR-V,60 - 65K KM,Automatic,"Johor, Skudai"
2016 Honda CR-V 2.0 i-VTEC SUV - (A) 1 YEAR WARRANTY,RM 905 / month,"RM 69,800",Honda CR-V,90 - 95K KM,Automatic,"Penang, Ayer Itam"
2017 Honda City 1.5 Hybrid Sedan - EASY LOAN,RM 596 / month,"RM 45,999",Honda City,60 - 65K KM,Automatic,"Johor, Skudai"
2018 Toyota C-HR 1.8 SUV - (A) 1 YEAR WARRANTY,"RM 98,500
2016 Toyota Harrier 2.0 Premium Advanced SUV - JBL LINE ASIST PRE-CRASH 360 PREMIUM WARRANTY,"RM 1,256 / month","RM 96,888",Toyota Harrier,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras"
2012 BMW 328i 2.0 Sport Line Sedan - FULL SERVICE RECORD BY,RM 758 / month,"RM 58,500",BMW 328i,115 - 120K KM,Automatic,"Selangor, Puchong"
2015 Volvo XC60 2.0 T6 SUV - Full Service By Accident Free Flood Free,RM 996 / month,"RM 76,800",Volvo XC60,90 - 95K KM,Automatic,"Selangor, Puchong"
2014 Mercedes-Benz S400L 3.5 Hybrid Sedan - ONE VIP Owner Beautiful Condition,"RM 1,295 / month","RM 99,900",N/A,85 - 90K KM,Automatic,"Selangor, Puchong"
2014 Toyota Alphard 3.5 G MPV - (CNY SALES) (Pilot Seat)(Power Door)(Sunroof)( Cheapest in town ) (Carking condition) (sales) (offer),"RM 1,372 / month","RM 105,800",Toyota Alphard,95 - 100K KM,Automatic,"Johor, Johor Bahru"
2019 Volvo XC40 2.0 T5 R-Design SUV - Service Record,"RM 1,710 / month","RM 131,900",N/A,80 - 85K KM,Automatic,"Selangor, Seri Kembangan"
2015 Honda HR-V 1.8 i-VTEC V SUV - V SPEC(A)NO PROCESSING CHARGE,RM 646 / month,"RM 49,800",Honda HR-V,75 - 80K KM,Automatic,"Kuala Lumpur, Cheras"
2018 Mazda CX-5 2.5 SKYACTIV-G GLS SUV - GLS(A)NO PROCESSING CHARGE,"RM 1,216 / month","RM 93,800",Mazda CX-5,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras"
2016/2018 BMW X1 2.0 sDrive20i SUV - (A)NO PROCESSING CHARGE,"RM 1,009 / month","RM 77,800",BMW X1,45 - 50K KM,Automatic,"Kuala Lumpur, Cheras"
2016 Ford Ranger 2.2 XL High Rider Dual Cab Pickup Truck - XLT 4X4(M)NO PROCESSING CHARGE,RM 723 / month,"RM 55,800",Ford Ranger,100 - 105K KM,Manual,"Kuala Lumpur, Cheras"
"2017/2020 Toyota Alphard 2.5 G SA MPV - MODELLISTA BODYKITS AGH 30 TYPE BLACK EDITION S A SEMI LEATHER , POWER BOOT, PRE CRASH, RAYA SALE","RM 2,359 / month","RM 181,999",Toyota Alphard,85 - 90K KM,Automatic,"Selangor, Puchong"
"2020/2022 Toyota Alphard 2.5 G S C Package MPV - 3BA SUNROOF POWER BOOT, PILOT SEAT ORIGINAL MODELLISTA, KING CONDITION RAYA OFFER","RM 3,150 / month","RM 242,999",Toyota Alphard,40 - 45K KM,Automatic,"Selangor, Puchong"
2018 Nissan X-Trail 2.0 SUV - CVT (A) 360 Camera 3 YEAR WARRANTY,RM 620 / month,"RM 47,800",Nissan X-Trail,65 - 70K KM,Automatic,"Selangor, Kajang"
2020 Toyota Harrier 2.0 Premium SUV - Z Leather,"RM 2,697 / month","RM 208,000",Toyota Harrier,20 - 25K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2021 Toyota Harrier 2.0 SUV - Z - Full Leather Full Spec Perfect Condition,"RM 2,761 / month","RM 213,000",Toyota Harrier,25 - 30K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2019 Toyota Vellfire 3.5 VL MPV - Full Spec New Car Condition Nego Till Let Go,"RM 3,993 / month","RM 308,000",Toyota Vellfire,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2021 Toyota Vellfire 3.5 Z Modellista G Edition MPV - ZAG 2K KM 5-A Perfect Condition,"RM 4,123 / month","RM 318,000",Toyota Vellfire,0 - 5K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2021 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified,"RM 3,669 / month","RM 283,000",Toyota Alphard,20 - 25K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2022 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified G S C,"RM 3,799 / month","RM 293,000",Toyota Alphard,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2021 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified,"RM 3,863 / month","RM 298,000",Toyota Alphard,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2021 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified G S C,"RM 3,669 / month","RM 283,000",Toyota Alphard,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2021 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified G S C,"RM 3,669 / month","RM 283,000",Toyota Alphard,5 - 10K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2021 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified G S C,"RM 3,824 / month","RM 295,000",Toyota Alphard,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2019 Toyota Vellfire 2.5 Z G Edition MPV,"RM 3,021 / month","RM 233,000",Toyota Vellfire,45 - 50K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
"2021 Toyota Alphard 2.5 G S C Package MPV - (A) JBL SOUND SYSTEM, MODELLISTA BODY KIT","RM 3,863 / month","RM 298,000",Toyota Alphard,10 - 15K KM,Automatic,"Penang, Juru"
2018 Land Rover Range Rover 5.0 Supercharged Autobiography SUV - Autobiography V8 Supercharged,"RM 527,773
2013 BMW 528i 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT,RM 752 / month,"RM 58,000",BMW 528i,90 - 95K KM,Automatic,"Penang, Georgetown"
2014 BMW X1 2.0 sDrive20i SUV - Service Record Low Mileage REAR WHEEL DRIVE PUSH START PROFESSIONAL AUDIO MAX LOAN,RM 646 / month,"RM 49,800",BMW X1,118777 KM,Automatic,"Selangor, Kajang"
2017 Honda HR-V 1.8 i-VTEC V SUV - (A) 1 YEAR WARRANTY,"RM 64,915
2008/2013 Mercedes-Benz C200K 1.8 AMG Sedan - MERCEDES BENZ SPORT SUNROOF ORI JAPAN SPEC - REG YEAR 2013 RARE UNIT ORI JPN SPEC CASH BUY CARLIST QUALIFIED INSPECTED CAR,RM 555 / month,"RM 42,800",Mercedes-Benz C200K,125 - 130K KM,Automatic,"Selangor, Kajang"
"2016 Mercedes-Benz C200 2.0 AMG Sedan - MERCEDES BENZ WTY 2025,CRYSTAL WHITE IN COLOUR,FULL LEATHER SEAT,SMOOTH ENGINE GEAR BOX,ONE OF DATO OWNER","RM 1,631 / month","RM 125,800",Mercedes-Benz C200,70 - 75K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2019 Porsche Macan 3.0 S SUV - 3.6 TRUBO NEW FACELIFT 2025 ,CRYSTAL WHITE IN COLOUR,FULL LEATHER SEAT RED IN COLOUR,SPORT CHRONO,ONE OF VIP DATO OWNER","RM 3,222 / month","RM 248,500",Porsche Macan,70 - 75K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2019 Mercedes-Benz S450L 3.0 AMG Line Sedan - MERCEDES BENZ S450 L NO HYBRID AMG WTY 2025 ,CRYSTAL BLACK IN COLOUR,SELDOM USE,POWER BOOT,ONE OF DATO OWNER","RM 4,129 / month","RM 318,500",N/A,110 - 115K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2020 Ford MUSTANG 5.0 GT Coupe - WTY 2025 2021,CRYSTAL RED IN COLOUR,REVERSE CAMERA, STEERING, SPORT RIM,RECARO SEATS,ONEOF DATIN OWNER","RM 3,614 / month","RM 278,800",Ford MUSTANG,10 - 15K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2018 Land Rover Range Rover 3.0 P400 Vogue SE SUV - VOGUE DIESEL WTY 2025 ,CRYSTAL BLACK IN COLOUR,PANAROMIC ROOF,POWER BOOT,ONE OF DATO VIP OWNER","RM 2,962 / month","RM 228,500",N/A,80 - 85K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2014 Porsche Cayman 2.7 Coupe - GTS WTY 2025 2019,CRYSTAL BLACK IN COLOUR,SMOOTH ENGINE GEAR BOX,SELDOM USE,ONEOF DATIN OWNER","RM 2,962 / month","RM 228,500",Porsche Cayman,65 - 70K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2017 MINI 5 Door 1.5 Cooper Hatchback - CLUBMAN WTY 2025 ,CRYSTAL GREY IN COLOUR,PUSH START,SMOOTH ENGINE GEAR BOX,ONE OF DATIN OWNER","RM 1,407 / month","RM 108,500",N/A,75 - 80K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2016 Land Rover Range Rover Sport 3.0 HST SUV - SVR WTY 2025 , CRYSTAL BLACK IN COLOUR,POWER BOOT,SMOOTH ENGINE GEAR BOX,ONE OF VIP OWNER","RM 3,351 / month","RM 258,500",Land Rover Range Rover Sport,85 - 90K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2014/2018 Porsche Macan 3.0 S SUV - GTS NEW FACELIFT 2025 2018 ,CRYSTAL WHITE IN COLOUR,FULL LEATHER SEAT BLACK IN COLOUR,PANORAMIC ROOF,ONE OF DATIN OWNER","RM 2,962 / month","RM 228,500",Porsche Macan,85 - 90K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2021 Toyota Harrier 2.0 SUV - Luxury BSM DIM POWER BOAT Rear Camera 18 Rim UNREG GRADE 4.5,"RM 2,295 / month","RM 177,000",Toyota Harrier,25 - 30K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Perodua Myvi 1.3 EZi Hatchback,RM 296 / month,"RM 22,800",Perodua Myvi,105 - 110K KM,Automatic,"Selangor, Klang"
2014 Honda Jazz 1.5 E i-VTEC Hatchback,RM 542 / month,"RM 41,800",Honda Jazz,90 - 95K KM,Automatic,"Selangor, Klang"
2018/2019 Honda Civic 1.5 TC VTEC Premium Sedan - TCP (A) Full Service Record Under,"RM 1,125 / month","RM 86,800",Honda Civic,100 - 105K KM,Automatic,"Selangor, Kajang"
2016 Toyota Camry 2.5 Hybrid Premium Sedan - (A) Full Service Record Under Push Start One Owner,RM 853 / month,"RM 65,800",Toyota Camry,125 - 130K KM,Automatic,"Selangor, Bandar Baru Bangi"
2016 Mazda CX-3 2.0 SKYACTIV SUV - 2WD (A) 1 OWNER NO PROCESSING CHARGE,RM 775 / month,"RM 59,800",Mazda CX-3,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Suzuki Jimny 1.3 JLX SUV - (A) 1 OWNER NO PROCESSING CHARGE,"RM 1,062 / month","RM 81,888",Suzuki Jimny,85 - 90K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Mercedes-Benz E250 2.0 AMG Sport Coupe - Mercedes Benz AMG with Number Plate 58,"RM 1,361 / month","RM 105,000",Mercedes-Benz E250,110 - 115K KM,Automatic,"Johor, Johor Bahru"
2014 Mercedes-Benz E200 2.0 Avantgarde Sedan,RM 998 / month,"RM 77,000",Mercedes-Benz E200,85 - 90K KM,Automatic,"Johor, Johor Bahru"
2015 Mercedes-Benz CLA200 1.6 Coupe - (With 1 Year Warranty),"RM 1,232 / month","RM 95,000",Mercedes-Benz CLA200,95 - 100K KM,Automatic,"Johor, Johor Bahru"
2018 Honda CR-V 1.5 TC VTEC SUV - TCP ELECTRIC SEAT PADDLE SHIFT WARRANTY,"RM 1,242 / month","RM 95,800",Honda CR-V,75 - 80K KM,Automatic,"Kuala Lumpur, Cheras"
2018 BMW 330e 2.0 M Sport Sedan - SUNROOF PADDLE SHIFT WARRANTY F30,"RM 1,035 / month","RM 79,800",BMW 330e,80 - 85K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Porsche Macan 3.6 Turbo SUV - S (A) Sport Chrono Package Panoramic Sunroof Bose Surround Sound System 2.0,"RM 3,098 / month","RM 239,000",Porsche Macan,25 - 30K KM,Automatic,"Selangor, Serdang"
"2017 BMW 330e 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,060 / month","RM 81,800",BMW 330e,145 - 150K KM,Automatic,"Penang, Bukit Mertajam"
"2018 Mercedes-Benz C180 1.6 Avantgarde Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,812 / month","RM 139,800",Mercedes-Benz C180,95 - 100K KM,Automatic,"Penang, Bukit Mertajam"
"2018 BMW X3 2.0 xDrive30i Luxury SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,059 / month","RM 158,800",BMW X3,90 - 95K KM,Automatic,"Penang, Bukit Mertajam"
"2019 MINI Countryman 2.0 Cooper S Sports SUV - Cooper S (A) 1 YEAR WARRANTY, BMW PREMIUM SELECTION","RM 2,072 / month","RM 159,800",MINI Countryman,60 - 65K KM,Automatic,"Penang, Bukit Mertajam"
"2017 BMW 740Le 2.0 xDrive Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,318 / month","RM 178,800",N/A,65 - 70K KM,Automatic,"Penang, Bukit Mertajam"
"2017 Lexus RX200t 2.0 SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,590 / month","RM 199,800",Lexus RX200t,60 - 65K KM,Automatic,"Penang, Bukit Mertajam"
2017 BMW 330e 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY,"RM 1,238 / month","RM 95,500",BMW 330e,65 - 70K KM,Automatic,"Penang, Greenlane"
2014/2018 Mercedes-Benz CLA180 1.6 Coupe - NEW YEARS PROMOTIONS HIGH TRADE IN FASTER LOAN APPROVALS,"RM 1,281 / month","RM 98,800",Mercedes-Benz CLA180,95 - 100K KM,Automatic,"Johor, Senai"
2016 Mercedes-Benz E200 2.0 Avantgarde Sedan - AMG CBU (RARE Unit) (Full Spec) (Sunroof) (Keyless) (HUD) (Power Boot) (Offer Sales),"RM 2,204 / month","RM 170,000",Mercedes-Benz E200,70 - 75K KM,Automatic,"Johor, Johor Bahru"
2015 Inokom Santa Fe 2.2 CRDi Executive Plus SUV - SUNROOF HYUNDAI ACCIDENT FREE TIP TOP CONDITION,RM 646 / month,"RM 49,800",N/A,130 - 135K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Mazda 6 2.5 SKYACTIV-G Sedan - SUNROOF HUD PADDLE WARRANTY,RM 503 / month,"RM 38,800",Mazda 6,115 - 120K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Mitsubishi Triton 2.4 VGT Adventure X Dual Cab Pickup Truck - PADDLE SHIFT ELECTRIC SEAT 4X4 WARRANTY,RM 983 / month,"RM 75,800",Mitsubishi Triton,115 - 120K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Hyundai Grand Starex 2.5 Royale Deluxe MPV - 360 CAMERA 12 SEATER CAREFUL OWNER WARRANTY,"RM 1,086 / month","RM 83,800",Hyundai Grand Starex,120 - 125K KM,Automatic,"Kuala Lumpur, Cheras"
2016 Mercedes-Benz S400L 3.5 Hybrid Sedan - AMG S400 PANORAMIC MASSAGE SEAT POWER BOOT WARRANTY,"RM 1,501 / month","RM 115,800",N/A,130 - 135K KM,Automatic,"Kuala Lumpur, Cheras"
2016/2020 Toyota Vellfire 2.5 Z Golden Eyes MPV - (A) (Free Warranty),"RM 2,383 / month","RM 183,800",Toyota Vellfire,90 - 95K KM,Automatic,"Johor, Johor Bahru"
2019/2022 Toyota Alphard 2.5 G S C Package MPV - (Free Warranty),"RM 3,109 / month","RM 239,800",Toyota Alphard,45 - 50K KM,Automatic,"Johor, Johor Bahru"
"2014 Mercedes-Benz CLA200 1.6 Coupe - , FREE 1 YEAR WARRANTY , PADDLE SHIFT , REVERSE CAMERA , AUTO CRUISE 1 OWNER","RM 1,086 / month","RM 83,800",Mercedes-Benz CLA200,120 - 125K KM,Automatic,"Selangor, Kajang"
2015 Honda CR-V 2.4 i-VTEC SUV,RM 853 / month,"RM 65,800",Honda CR-V,120 - 125K KM,Automatic,"Penang, Gelugor"
2017/2022 Mercedes-Benz G350 3.0 d SUV,"RM 5,689 / month","RM 438,800",Mercedes-Benz G350,20 - 25K KM,Automatic,"Selangor, Telok Panglima Garang"
2018 Toyota Hilux 2.4 G Dual Cab Pickup Truck - G,"RM 1,112 / month","RM 85,800",Toyota Hilux,70 - 75K KM,Automatic,"Selangor, Telok Panglima Garang"
2016/2018 Lexus LX570 5.7 SUV,"RM 4,911 / month","RM 378,800",N/A,65 - 70K KM,Automatic,"Selangor, Telok Panglima Garang"
2019 BMW 330e 2.0 M Sport Sedan - FULL SERVICE F30,"RM 1,216 / month","RM 93,800",BMW 330e,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Nissan X-Trail 2.5 4WD SUV - 360 CAM HIGH SPEC,RM 568 / month,"RM 43,800",Nissan X-Trail,100 - 105K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Toyota Camry 2.0 G X Sedan - TIP-TOP NO PROCESSING CHARGE,"RM 1,190 / month","RM 91,800",Toyota Camry,80 - 85K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Kia Cerato 1.6 Sedan - NO PROCESSING CHARGE,RM 360 / month,"RM 27,800",Kia Cerato,130 - 135K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Mazda 6 2.0 SKYACTIV-G Sedan - NO PROCESSING CHARGE,RM 503 / month,"RM 38,800",Mazda 6,135 - 140K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Honda City 1.5 V i-VTEC Sedan - V (A) PUSH START HIGH SPEC TIPTOP CONDITION,RM 503 / month,"RM 38,800",Honda City,115 - 120K KM,Automatic,"Kuala Lumpur, Cheras"
2013 BMW 328i 2.0 M Sport Sedan - F30 ORIGINAL (1 YEAR WARRANTY) 2014,RM 906 / month,"RM 69,888",BMW 328i,125 - 130K KM,Automatic,"Selangor, Klang"
2014 BMW X6 3.0 xDrive35i SUV - (A) TWIN TURBO M SPORT WITH UNDER PREMIUM WARRANTY,"RM 1,101 / month","RM 84,888",BMW X6,70 - 75K KM,Automatic,"Selangor, Kajang"
2014 Honda Accord 2.4 i-VTEC VTi-L Sedan - (A) NO PROCESSING CHARGE 1 OWNER,RM 646 / month,"RM 49,800",Honda Accord,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Mazda 6 2.5 SKYACTIV-G Sedan - MEMORY SEAT LEATHER SEAT REVERSE CAM REG 2015 WARRANTY,RM 594 / month,"RM 45,800",Mazda 6,95 - 100K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Toyota Harrier 2.0 Premium Advanced SUV - (JBL 360 SURROUND CAMERA PANORAMIC ROOF) 2015,"RM 1,295 / month","RM 99,888",Toyota Harrier,90 - 95K KM,Automatic,"Selangor, Klang"
2019 Mazda 6 2.5 SKYACTIV-G GVC Plus Sedan - SUNROOF BOSE SYSTEM 360 DEGREE CAMERA ELECTRIC LEATHER SEAT PADDLE SHIFT,"RM 1,436 / month","RM 110,800",Mazda 6,105 - 110K KM,Automatic,"Kuala Lumpur, Cheras"
2022 Volkswagen Tiguan 1.4 Allspace Elegance SUV - FULL SERVICE WARRANTY 2026 POWER BOOT MEMORY SEAT,"RM 1,761 / month","RM 135,800",Volkswagen Tiguan,60 - 65K KM,Automatic,"Kuala Lumpur, Cheras"
2013/2018 Mercedes-Benz CLA250 2.0 AMG Coupe - SUNROOF HARMAN SOUND SYSTEM MEMORY LEATHER SEAT,"RM 1,190 / month","RM 91,800",Mercedes-Benz CLA250,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras"
"2018 Mercedes-Benz C180 1.6 AMG Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,020 / month","RM 155,800",Mercedes-Benz C180,65 - 70K KM,Automatic,"Penang, Bukit Mertajam"
"2017 BMW 330e 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,022 / month","RM 78,800",BMW 330e,135 - 140K KM,Automatic,"Penang, Bukit Mertajam"
"2017 Mercedes-Benz E250 2.0 Avantgarde Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 2,279 / month","RM 175,800",Mercedes-Benz E250,100 - 105K KM,Automatic,"Penang, Bukit Mertajam"
"2019 BMW X1 2.0 sDrive20i Sport Line SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,631 / month","RM 125,800",BMW X1,65 - 70K KM,Automatic,"Penang, Bukit Mertajam"
2017/2022 Toyota Alphard 2.5 S MPV - Type Black Popular Model (Free Warranty),"RM 2,551 / month","RM 196,800",Toyota Alphard,70 - 75K KM,Automatic,"Johor, Johor Bahru"
2015/2021 Toyota Alphard 2.5 G S C Package MPV,"RM 2,422 / month","RM 186,800",Toyota Alphard,95 - 100K KM,Automatic,"Johor, Johor Bahru"
2019/2020 Maxus G10 2.0 Executive MPV - TRUE YEAR MAKE REGISTER 2020 NEW FACELIFT 2-POWER DOOR POWER BOOT 7-SEAT PILOT SEAT FULL SPEC,"RM 1,425 / month","RM 109,900",N/A,105 - 110K KM,Automatic,"Selangor, Seri Kembangan"
2020 Toyota Granace 2.8 MPV - Premium 6 Seater Grade 5A Ready Stock,"RM 3,863 / month","RM 298,000",N/A,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2022 Toyota Land Cruiser 3.3 ZX Modellista SUV - Like New Low Mileage Nego Till Let Go,"RM 7,623 / month","RM 588,000",Toyota Land Cruiser,5 - 10K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2020 Toyota Harrier 2.0 SUV - Premium Z Leather,"RM 2,567 / month","RM 198,000",Toyota Harrier,25 - 30K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2021 Toyota Vellfire 2.5 MPV - Golden Eye 2,"RM 3,060 / month","RM 236,000",Toyota Vellfire,25 - 30K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2019 Toyota Vellfire 3.5 Executive Lounge Z MPV - Full Spec Like New Nego Till Let Go,"RM 3,993 / month","RM 308,000",Toyota Vellfire,40 - 45K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2013 Mazda CX-5 2.0 SKYACTIV-G SUV - HIGH SPEC LEATHER SEAT SUNROOF CBU FREE INSURANCE,RM 542 / month,"RM 41,800",Mazda CX-5,125 - 130K KM,Automatic,"Selangor, Kajang"
2015 BMW X3 2.0 xDrive20i SUV - LCI (Power Boot Keyless Entry Paddle Shift),RM 984 / month,"RM 75,888",BMW X3,80 - 85K KM,Automatic,"Selangor, Seri Kembangan"
2016/2020 Mercedes-Benz A180 1.6 AMG Hatchback - Turbo A45 Bodykit (BLIS PRE-CRASH)(Keyless Entry)(1 Year Warranty),"RM 1,295 / month","RM 99,888",Mercedes-Benz A180,70 - 75K KM,Automatic,"Selangor, Seri Kembangan"
2013/2014 Mitsubishi Triton 2.5 VGT Dual Cab Pickup Truck - (A) VGT CBU Unit,RM 581 / month,"RM 44,800",Mitsubishi Triton,140 - 145K KM,Automatic,"Penang, Sungai Nibong"
2019 Mercedes-Benz GLA200 1.6 Night Edition SUV - AMG GLA 200 FULL SERVICE RECORD C C,"RM 1,774 / month","RM 136,800",Mercedes-Benz GLA200,85 - 90K KM,Automatic,"Selangor, Seri Kembangan"
2018 Mercedes-Benz C180 1.6 Avantgarde Sedan - AMG W205 FSR,"RM 1,503 / month","RM 115,900",Mercedes-Benz C180,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
"2016 Nissan X-Trail 2.5 4WD SUV - , FULL SPEC , 360 CAMERA , FULL LEATHER SEAT , ONE OWNER",RM 557 / month,"RM 42,999",Nissan X-Trail,90 - 95K KM,Automatic,"Selangor, Puchong"
"2014/2015 Kia Rio 1.4 EX Hatchback - SX ,reverse camera, sunroof ,navigation , full spec",RM 298 / month,"RM 22,999",Kia Rio,75 - 80K KM,Automatic,"Kuala Lumpur, Jalan Puchong"
